pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbeccen,pl_orbincl,pl_radj,pl_radjerr1,pl_radjerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_masse,pl_masseerr1,pl_masseerr2,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_spstr,st_plx,gaia_dist,st_pmra,st_pmdec,gaia_pmra,gaia_pmdec,st_radv,st_logg,st_age,st_vsini
TRAPPIST-1,b,Transit,1.51087081,6e-07,-6e-07,0.081,89.65,1.087271130901052,0.03362694219281604,-0.03362694219281604,1.086,0.035,-0.035,0.8486018456077817,0.7214704829699118,-0.7214704829699118,0.85,0.72,-0.72,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20
TRAPPIST-1,c,Transit,2.4218233,1.7e-06,-1.7e-06,0.083,89.67,1.053644188708236,0.03362694219281604,-0.03362694219281604,1.056,0.035,-0.035,1.3793752846208887,0.6102305406617756,-0.6102305406617756,1.38,0.61,-0.61,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20
TRAPPIST-1,d,Transit,4.04961,6.3e-05,-6.3e-05,0.07,89.75,0.773419670434769,0.03362694219281604,-0.03362694219281604,0.772,0.03,-0.03,0.40999864450713047,0.2701541456054736,-0.2701541456054736,0.41,0.27,-0.27,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20
K2-18,b,Transit,32.93963,0.0001,-0.0001,0.43,89.579,2.376303914959,0.22417961461877361,-0.22417961461877361,2.38,0.22,-0.22,7.958423301130656,1.9101487236339953,-1.9101487236339953,7.96,1.91,-1.91,172.560455,7.588391,34.0,13.496,V (Johnson),3457.0,0.36,0.41,M2.5 V,1e+20,38.07,-80.4,-133.1,-80.4,-133.1,0.65,1e+20,1e+20,1e+20
GJ 1214,b,Transit,1.58040456,1.6e-07,-1.6e-07,1e+20,88.17,2.847081105658425,0.20176165315689623,-0.20176165315689623,2.847,0.202,-0.202,6.261219609915093,0.858136697805622,-0.858136697805622,6.26125,0.85814,-0.85814,258.828837,4.96392,12.95,15.1,V (Johnson),3026.0,0.15,0.22,M4.5,77.2,14.65,590.4,-794.7,580.4,-749.6,-21.1,4.94,1e+20,2.0
Ross 458,c,Imaging,1e+20,0.0,0.0,1e+20,1e+20,13.67495649174519,0.0,0.0,13.675,0.0,0.0,1997.665953673905,0.0,0.0,1997.59,0.0,0.0,195.194092,12.375724,11.51,9.72,V (Johnson),3621.0,0.49,0.63,M0.5,86.86,11.51,-632.2,-36.0,-632.2,-36.0,-11.2,1e+20,1e+20,1e+20
Kepler-26,b,Transit,12.28,0.0003,-0.0003,1e+20,1e+20,2.7798272212727926,0.11208980730938681,-0.11208980730938681,2.78,0.11,-0.11,5.12021563024021,0.6515482335190834,-0.6102305406617756,5.12,0.65,-0.61,284.940997,46.56654,339.0,15.473,Kepler-band,3914.0,0.54,0.51,M0 V,1e+20,338.55,9.5,-14.0,9.5,-14.0,1e+20,1e+20,1e+20,1.9
Kepler-32,b,Transit,5.90124,0.0001,-0.0001,1e+20,1e+20,2.1969602232639813,0.20176165315689623,-0.20176165315689623,2.2,0.2,-0.2,1303.0964670381666,0.0,0.0,1303.0,0.0,0.0,297.842398,46.574281,303.0,16.452,V (Johnson),3900.0,0.58,0.53,M1 V,1e+20,326.85,-8.0,20.0,-13.6,19.6,-32.5,4.64,1e+20,1e+20
Kepler-32,c,Transit,8.7522,0.0003,-0.0003,1e+20,1e+20,1.9951985701070851,0.20176165315689623,-0.20176165315689623,2.0,0.2,-0.2,158.9142032973374,0.0,0.0,158.9,0.0,0.0,297.842398,46.574281,303.0,16.452,V (Johnson),3900.0,0.58,0.53,M1 V,1e+20,326.85,-8.0,20.0,-13.6,19.6,-32.5,4.64,1e+20,1e+20
Kepler-138,d,Transit,23.0881,0.0009,-0.0008,1e+20,1e+20,1.2105699189413774,0.07846286511657076,-0.07846286511657076,1.212,0.075,-0.075,0.6388350972552963,0.6737962219807105,-0.38775065604550324,0.64,0.674,-0.387,290.381547,43.292973,52.4,12.925,Kepler-band,3841.0,0.52,0.44,M1 V,1e+20,66.99,-20.6,22.7,-20.6,22.7,-36.33,4.89,1e+20,1e+20
