,#x
1,0.007895359
2,2.68E-08
3,8.63E-09
4,5.27E-09
5,6.00E-09
6,9.01E-09
7,1.36E-08
8,1.89E-08
9,2.37E-08
10,2.75E-08
11,3.00E-08
12,3.02E-08
13,2.75E-08
14,2.24E-08
15,1.69E-08
16,1.22E-08
17,8.68E-09
18,6.31E-09
19,4.76E-09
20,3.78E-09
21,3.17E-09
22,2.78E-09
23,2.51E-09
24,2.31E-09
25,2.15E-09
26,2.00E-09
27,1.87E-09
28,1.76E-09
29,1.67E-09
30,1.64E-09
31,1.70E-09
32,1.85E-09
33,2.12E-09
34,2.51E-09
35,2.99E-09
36,3.50E-09
37,3.93E-09
38,4.13E-09
39,4.03E-09
40,3.60E-09
41,2.95E-09
42,2.23E-09
43,1.56E-09
44,1.02E-09
45,6.39E-10
46,3.91E-10
47,2.42E-10
48,1.56E-10
49,1.05E-10
50,7.26E-11
51,5.18E-11
52,3.87E-11
53,3.08E-11
54,2.60E-11
55,2.30E-11
56,2.23E-08
57,9.59E-09
58,4.78E-09
59,3.99E-09
60,5.56E-09
61,9.01E-09
62,1.40E-08
63,1.98E-08
64,2.54E-08
65,3.02E-08
66,3.35E-08
67,3.43E-08
68,3.11E-08
69,2.51E-08
70,1.86E-08
71,1.32E-08
72,9.29E-09
73,6.68E-09
74,5.01E-09
75,3.95E-09
76,3.29E-09
77,2.88E-09
78,2.59E-09
79,2.38E-09
80,2.21E-09
81,2.06E-09
82,1.91E-09
83,1.79E-09
84,1.70E-09
85,1.67E-09
86,1.73E-09
87,1.89E-09
88,2.18E-09
89,2.59E-09
90,3.11E-09
91,3.66E-09
92,4.12E-09
93,4.35E-09
94,4.25E-09
95,3.80E-09
96,3.11E-09
97,2.34E-09
98,1.63E-09
99,1.07E-09
100,6.63E-10
101,4.03E-10
102,2.48E-10
103,1.58E-10
104,1.06E-10
105,7.29E-11
106,5.19E-11
107,3.87E-11
108,3.08E-11
109,2.61E-11
110,2.30E-11
111,7.06E-09
112,4.14E-09
113,2.78E-09
114,3.21E-09
115,5.31E-09
116,9.13E-09
117,1.46E-08
118,2.10E-08
119,2.77E-08
120,3.38E-08
121,3.86E-08
122,4.00E-08
123,3.64E-08
124,2.88E-08
125,2.08E-08
126,1.45E-08
127,1.01E-08
128,7.15E-09
129,5.31E-09
130,4.17E-09
131,3.45E-09
132,3.00E-09
133,2.70E-09
134,2.48E-09
135,2.29E-09
136,2.12E-09
137,1.97E-09
138,1.84E-09
139,1.74E-09
140,1.71E-09
141,1.77E-09
142,1.94E-09
143,2.25E-09
144,2.70E-09
145,3.27E-09
146,3.87E-09
147,4.38E-09
148,4.65E-09
149,4.54E-09
150,4.06E-09
151,3.31E-09
152,2.49E-09
153,1.73E-09
154,1.12E-09
155,6.94E-10
156,4.19E-10
157,2.55E-10
158,1.61E-10
159,1.07E-10
160,7.33E-11
161,5.20E-11
162,3.88E-11
163,3.09E-11
164,2.61E-11
