"","x"
"1",0.00789535856084763
"2",2.68191966498241e-08
"3",8.63071724312406e-09
"4",5.27228548302141e-09
"5",5.99753169132479e-09
"6",9.01495516720404e-09
"7",1.36064340850535e-08
"8",1.8853894600084e-08
"9",2.37009832352314e-08
"10",2.75383043892158e-08
"11",2.99967661240038e-08
"12",3.02463762558569e-08
"13",2.75084222783398e-08
"14",2.24489483852685e-08
"15",1.68788187933435e-08
"16",1.21566884697198e-08
"17",8.67967539016293e-09
"18",6.30866329808985e-09
"19",4.76350985406352e-09
"20",3.7843612083903e-09
"21",3.17012334811105e-09
"22",2.77776091291655e-09
"23",2.51227330563481e-09
"24",2.31476801998687e-09
"25",2.15133486713183e-09
"26",2.00492344950587e-09
"27",1.87092980209714e-09
"28",1.75523466483467e-09
"29",1.67264708510558e-09
"30",1.64446798217308e-09
"31",1.69503538192529e-09
"32",1.84745021643489e-09
"33",2.11796849523483e-09
"34",2.50766640759384e-09
"35",2.99041210787931e-09
"36",3.49979369477249e-09
"37",3.92534034311185e-09
"38",4.13496124071947e-09
"39",4.03006608064431e-09
"40",3.6043258284132e-09
"41",2.95431425894057e-09
"42",2.22834405180097e-09
"43",1.55834507834489e-09
"44",1.02152553700062e-09
"45",6.38541386603903e-10
"46",3.90954208987123e-10
"47",2.42470046084955e-10
"48",1.56251464774249e-10
"49",1.04912424646563e-10
"50",7.26082806400736e-11
"51",5.17670634072696e-11
"52",3.86683793411606e-11
"53",3.07759713831693e-11
"54",2.60455255649476e-11
"55",2.29665325112563e-11
"56",2.22796842980695e-08
"57",9.58502687908727e-09
"58",4.77603406482286e-09
"59",3.98613448477359e-09
"60",5.55608817157781e-09
"61",9.01014536913784e-09
"62",1.40061173796716e-08
"63",1.98006716186766e-08
"64",2.54060400919441e-08
"65",3.01727742867291e-08
"66",3.35398098252117e-08
"67",3.42510687064726e-08
"68",3.11437177781119e-08
"69",2.51170401867553e-08
"70",1.85758274220643e-08
"71",1.31727011827636e-08
"72",9.28702858751805e-09
"73",6.68348219775156e-09
"74",5.00691864599427e-09
"75",3.95276833229286e-09
"76",3.29494585557432e-09
"77",2.87635244564017e-09
"78",2.59391034653055e-09
"79",2.38411845234917e-09
"80",2.21060871942792e-09
"81",2.05525393260658e-09
"82",1.91326784204487e-09
"83",1.79092080876999e-09
"84",1.70378660262345e-09
"85",1.67421211475952e-09
"86",1.72784610186489e-09
"87",1.88934576281899e-09
"88",2.17661726568942e-09
"89",2.59199397798065e-09
"90",3.10915235750278e-09
"91",3.65837710406767e-09
"92",4.12134827166774e-09
"93",4.35459425834197e-09
"94",4.24992503786763e-09
"95",3.7999171521005e-09
"96",3.10971445713873e-09
"97",2.33982967382368e-09
"98",1.6313414611493e-09
"99",1.06538926422205e-09
"100",6.62701585582825e-10
"101",4.03071152769055e-10
"102",2.47957570292756e-10
"103",1.5848810483599e-10
"104",1.05745367164157e-10
"105",7.29096306306511e-11
"106",5.18871115726727e-11
"107",3.87269647350174e-11
"108",3.08094278096924e-11
"109",2.60656988407309e-11
"110",2.29795981914706e-11
"111",7.06453451578753e-09
"112",4.14082262293724e-09
"113",2.77948939356712e-09
"114",3.20915612206394e-09
"115",5.31479440512127e-09
"116",9.13303770194156e-09
"117",1.4568427054225e-08
"118",2.10490924890266e-08
"119",2.768254355573e-08
"120",3.3795743158633e-08
"121",3.85685417759344e-08
"122",4.00408148094085e-08
"123",3.63562056135479e-08
"124",2.88226851627029e-08
"125",2.08436980281048e-08
"126",1.44880178412921e-08
"127",1.00573165350096e-08
"128",7.15436703469429e-09
"129",5.31269723436051e-09
"130",4.16582127953086e-09
"131",3.45459465683213e-09
"132",3.00388868431529e-09
"133",2.70049131061973e-09
"134",2.47521698675626e-09
"135",2.2887268915868e-09
"136",2.12165709740824e-09
"137",1.96909977579949e-09
"138",1.83790881010078e-09
"139",1.74469309853232e-09
"140",1.71317633673455e-09
"141",1.77071763200069e-09
"142",1.94401907942609e-09
"143",2.25320103691431e-09
"144",2.70237271275327e-09
"145",3.26515293381214e-09
"146",3.86763466606795e-09
"147",4.38103399376107e-09
"148",4.64632161984467e-09
"149",4.54199558098328e-09
"150",4.05912061946849e-09
"151",3.31476843312998e-09
"152",2.48619184239907e-09
"153",1.72671269284294e-09
"154",1.12247249764726e-09
"155",6.94051296908051e-10
"156",4.18761661776979e-10
"157",2.55051878045808e-10
"158",1.61374297712852e-10
"159",1.06816558236764e-10
"160",7.32943759421041e-11
"161",5.20388260253574e-11
"162",3.88002916689336e-11
"163",3.08508671839943e-11
"164",2.60907874886138e-11
"165",2.29958110965514e-11
"166",2.76773743017239e-09
"167",1.92093882446532e-09
"168",1.78430456030121e-09
"169",2.8070910322521e-09
"170",5.25141571845649e-09
"171",9.39181935607294e-09
"172",1.53276618157334e-08
"173",2.26831613097593e-08
"174",3.07221852713762e-08
"175",3.88152140662793e-08
"176",4.58269995837567e-08
"177",4.86033796558606e-08
"178",4.39634734693033e-08
"179",3.39905452090143e-08
"180",2.38473336241959e-08
"181",1.61622026556831e-08
"182",1.1015282460879e-08
"183",7.73538344476567e-09
"184",5.69177261965022e-09
"185",4.4335589418504e-09
"186",3.65879170166343e-09
"187",3.16979076560737e-09
"188",2.84096689072046e-09
"189",2.59632812839085e-09
"190",2.39308090679667e-09
"191",2.21054008156136e-09
"192",2.0438414930981e-09
"193",1.90073314056881e-09
"194",1.79924963203565e-09
"195",1.76494219556274e-09
"196",1.82741904690688e-09
"197",2.01609408442817e-09
"198",2.3541025051962e-09
"199",2.84812329609122e-09
"200",3.47204423895995e-09
"201",4.14667835128243e-09
"202",4.72912737453939e-09
"203",5.03866185207892e-09
"204",4.93485791498998e-09
"205",4.40664052232435e-09
"206",3.58811591846103e-09
"207",2.67999884667666e-09
"208",1.85220927188977e-09
"209",1.19720722360228e-09
"210",7.34946825159002e-10
"211",4.39181380848361e-10
"212",2.6427073425154e-10
"213",1.6511983745188e-10
"214",1.08203846319554e-10
"215",7.37900984258593e-11
"216",5.22325873906344e-11
"217",3.88927283853982e-11
"218",3.09027727559597e-11
"219",2.61219859899174e-11
"220",2.30159737338002e-11
"221",1.12910099237326e-09
"222",9.58241752053569e-10
"223",1.32115969680225e-09
"224",2.64474577267437e-09
"225",5.32466007781445e-09
"226",9.78601473709265e-09
"227",1.63209594081077e-08
"228",2.48058726497854e-08
"229",3.47738824706385e-08
"230",4.5808051426838e-08
"231",5.64809219108906e-08
"232",6.15740244662856e-08
"233",5.52358232866474e-08
"234",4.11637258508519e-08
"235",2.77418481699494e-08
"236",1.82320039463089e-08
"237",1.2171870140746e-08
"238",8.43468500756047e-09
"239",6.15389194467457e-09
"240",4.76745953256477e-09
"241",3.92008801461514e-09
"242",3.38697347759461e-09
"243",3.02799439352125e-09
"244",2.75934677916651e-09
"245",2.53443397153804e-09
"246",2.33132227458105e-09
"247",2.14553046648663e-09
"248",1.98618405714088e-09
"249",1.87329763897589e-09
"250",1.83486179960522e-09
"251",1.90345339766545e-09
"252",2.11211188270967e-09
"253",2.48813307452554e-09
"254",3.04200432104782e-09
"255",3.74859813118717e-09
"256",4.52221615426588e-09
"257",5.20073782668454e-09
"258",5.57251883271051e-09
"259",5.46949989388639e-09
"260",4.87749972292235e-09
"261",3.95565181915497e-09
"262",2.93829927256434e-09
"263",2.01811507730671e-09
"264",1.29538304830175e-09
"265",7.88445673738362e-10
"266",4.6583886264395e-10
"267",2.76303714272341e-10
"268",1.70016738214461e-10
"269",1.10023233021965e-10
"270",7.44421128530898e-11
"271",5.2486222432874e-11
"272",3.90121543249115e-11
"273",3.09685441339462e-11
"274",2.61608984555353e-11
"275",2.30410591153608e-11
"276",4.6402922529093e-10
"277",5.49840076614229e-10
"278",1.13148966864979e-09
"279",2.6240478408313e-09
"280",5.50123101065865e-09
"281",1.03208232096659e-08
"282",1.75988176744759e-08
"283",2.75546443649196e-08
"284",4.01752542364449e-08
"285",5.56082258533518e-08
