,Planet,Per,E_Per,e_Per,Rp/Rstar,E_Rp/Rstar,e_Rp/Rstar,T,E_T,e_T,Rp,E_Rp,e_Rp,Tmax-c,E_Tmax-c,e_Tmax-c,a,E_a,e_a,S,E_S,e_S,Samp,KOI,Teff,e_Teff,FeH,e_FeH,Rstar,E_Rstar,e_Rstar,Mstar-iso,E_Mstar-iso,e_Mstar-iso,Rstar-iso,E_Rstar-iso,e_Rstar-iso,age-iso,E_age-iso,e_age-iso
0,K00001.01,2.47061338,3e-08,-3e-08,12.387,0.006,-0.006, 1.2922,0.0004,-0.0004,14.04,0.53,-0.53,2.831,0.0786,-0.0786,0.0372,0.0005,-0.0005,814.8485,64.4292,-64.4292,0,1,5857,100,0.02,0.06,1.04,0.04,-0.04,1.02,0.04,-0.04,1.03,0.02,-0.02, 3.7, 2.4,-1.9
1,K00002.01,2.20473542,4e-08,-4e-08,7.518,0.001,-0.001, 3.5522,0.0004,-0.0004,16.42,0.58,-0.58,4.5793,0.096,-0.096,0.0393,0.0003,-0.0003,3855.6777,335.6856,-335.6856,1,2,6403,100,0.22,0.06,2.00,0.07,-0.07,1.50,0.03,-0.03,1.99,0.04,-0.04, 1.8, 0.2,-0.2
2,K00003.01,4.88780308,4.7e-07,-4.7e-07,5.8,0.039,-0.039, 2.2288,0.0029,-0.0029,4.92,0.15,-0.15,2.8378,0.0991,-0.0991,0.053,0.0006,-0.0006,80.9365,11.4086,-11.4086,1,3,4619,110,0.16,0.09,0.78,0.02,-0.02,0.76,0.03,-0.03,0.75,0.03,-0.03,11.2, 5.8,-6.9
3,K00007.01,3.21366893,1.09e-06,-1.09e-06,2.454,0.014,-0.014, 3.8442,0.0085,-0.0085,4.07,0.16,-0.16,4.2859,0.118,-0.118,0.0462,0.0007,-0.0007,1082.7087,87.1526,-87.1526,1,7,5817,100,0.18,0.06,1.52,0.06,-0.06,1.16,0.05,-0.07,1.50,0.04,-0.03, 5.5, 1.8,-1.2
4,K00010.01,3.52249843,2e-07,-2e-07,9.208,0.016,-0.016, 2.7523,0.0015,-0.0015,15.51,0.59,-0.59,4.4715,0.1214,-0.1214,0.0496,0.0006,-0.0006,1262.1503,103.7788,-103.7788,1,10,6202,100,-0.09,0.06,1.54,0.06,-0.06,1.20,0.04,-0.05,1.53,0.03,-0.03, 3.6, 1.1,-0.6
5,K00017.01,3.23469928,1.2e-07,-1.2e-07,9.256,0.002,-0.002, 3.2609,0.0009,-0.0009,12.73,0.5,-0.5,3.654,0.1066,-0.1066,0.0456,0.0006,-0.0006,698.4508,61.6655,-61.6655,1,17,5673,100,0.36,0.06,1.26,0.05,-0.05,1.10,0.04,-0.05,1.25,0.03,-0.03, 6.0, 2.0,-1.8
6,K00018.01,3.54846545,1.8e-07,-1.8e-07,7.823,0.002,-0.002, 4.1861,0.0012,-0.0012,14.88,0.59,-0.59,4.8507,0.1304,-0.1304,0.0516,0.0004,-0.0004,1601.291,163.2277,-163.2277,1,18,6326,100,0.03,0.06,1.74,0.07,-0.07,1.33,0.03,-0.03,1.72,0.05,-0.05, 2.6, 0.3,-0.3
7,K00020.01,4.43796293,1.7e-07,-1.7e-07,11.677,0.002,-0.002, 4.1623,0.0009,-0.0009,19.15,0.74,-0.74,4.7613,0.1322,-0.1322,0.0568,0.0009,-0.0009,765.9483,60.0783,-60.0783,1,20,5934,100,0.04,0.06,1.50,0.06,-0.06,1.14,0.05,-0.06,1.49,0.03,-0.03, 5.3, 1.6,-1.1
8,K00022.01,7.89144884,5.1e-07,-5.1e-07,9.343,0.017,-0.017, 3.8564,0.0015,-0.0015,12.82,0.48,-0.48,4.8448,0.1262,-0.1262,0.0829,0.001,-0.001,246.1935,20.3731,-20.3731,1,22,5896,100,0.21,0.06,1.26,0.05,-0.05,1.13,0.04,-0.04,1.25,0.03,-0.02, 4.2, 1.6,-1.4
9,K00041.01,12.81590421,1.945e-05,-1.945e-05,1.362,0.042,-0.042, 6.1747,0.0371,-0.0371,2.27,0.11,-0.11,6.7966,0.1703,-0.1703,0.1148,0.0019,-0.0019,182.8119,12.8827,-12.8827,1,41,5865,100,0.11,0.06,1.52,0.06,-0.06,1.15,0.05,-0.06,1.51,0.03,-0.03, 5.5, 1.7,-1.2
10,K00041.02,6.88707073,2.277e-05,-2.277e-05,0.762,0.03,-0.03, 4.3490,0.0753,-0.0753,1.27,0.07,-0.07,5.5371,0.1387,-0.1387,0.0762,0.0012,-0.0012,414.9806,29.2435,-29.2435,1,41,5865,100,0.11,0.06,1.52,0.06,-0.06,1.15,0.05,-0.06,1.51,0.03,-0.03, 5.5, 1.7,-1.2
11,K00041.03,35.3331932,0.0002248,-0.0002248,0.92,0.038,-0.038, 5.7863,0.1249,-0.1249,1.53,0.08,-0.08,9.498,0.2379,-0.2379,0.2241,0.0036,-0.0036,47.9327,3.3778,-3.3778,1,41,5865,100,0.11,0.06,1.52,0.06,-0.06,1.15,0.05,-0.06,1.51,0.03,-0.03, 5.5, 1.7,-1.2
12,K00042.01,17.83367834,1.385e-05,-1.385e-05,1.671,0.016,-0.016, 4.3997,0.0171,-0.0171,2.73,0.1,-0.1,7.2786,0.1469,-0.1469,0.1476,0.001,-0.001,150.7029,12.5153,-12.5153,1,42,6367,100,0.01,0.06,1.49,0.05,-0.05,1.27,0.03,-0.03,1.49,0.02,-0.03, 2.4, 0.5,-0.4
13,K00046.01,3.48768878,1.11e-06,-1.11e-06,3.254,0.021,-0.021, 3.6795,0.0082,-0.0082,5.9,0.25,-0.25,4.7439,0.1658,-0.1658,0.0491,0.001,-0.001,999.4088,78.7283,-78.7283,1,46,5623,100,0.39,0.06,1.66,0.07,-0.07,1.19,0.08,-0.06,1.64,0.04,-0.04, 6.0, 1.7,-1.6
14,K00049.01,8.31377304,4.206e-05,-4.206e-05,2.671,0.114,-0.114, 2.8725,0.1139,-0.1139,3.77,0.22,-0.22,5.2677,0.1518,-0.1518,0.0822,0.0012,-0.0012,246.7644,20.1944,-20.1944,0,49,5803,100,-0.06,0.06,1.29,0.05,-0.05,0.99,0.04,-0.04,1.28,0.03,-0.03, 8.5, 1.9,-1.8
15,K00063.01,9.43414171,2.136e-05,-2.136e-05,5.786,0.236,-0.236, 2.5838,0.0558,-0.0558,5.64,0.32,-0.32,3.8977,0.0618,-0.0618,0.0892,0.0007,-0.0007,93.0483,7.9202,-7.9202,1,63,5633,100,0.23,0.06,0.89,0.04,-0.03,0.99,0.02,-0.03,0.91,0.01,-0.01, 1.4, 1.9,-0.9
16,K00069.01,4.72674037,1.57e-06,-1.57e-06,1.522,0.043,-0.043, 2.8331,0.0120,-0.0120,1.57,0.07,-0.07,3.3011,0.0962,-0.0962,0.0548,0.0008,-0.0008,259.1408,20.7193,-20.7193,1,69,5619,100,-0.1,0.06,0.94,0.04,-0.04,0.90,0.04,-0.04,0.93,0.02,-0.02, 6.9, 3.3,-3.1
17,K00070.01,10.85409593,4.98e-06,-4.98e-06,2.923,0.054,-0.054, 3.6214,0.0120,-0.0120,2.81,0.12,-0.12,4.0373,0.0845,-0.0845,0.0961,0.001,-0.001,69.4351,5.7156,-5.7156,1,70,5515,100,0.1,0.06,0.88,0.04,-0.03,0.94,0.03,-0.03,0.88,0.01,-0.01, 2.8, 2.9,-1.8
18,K00070.02,3.69612127,2.39e-06,-2.39e-06,1.781,0.038,-0.038, 2.4046,0.0170,-0.0170,1.72,0.08,-0.08,2.8294,0.0592,-0.0592,0.0472,0.0005,-0.0005,287.8311,23.6929,-23.6929,1,70,5515,100,0.1,0.06,0.88,0.04,-0.03,0.94,0.03,-0.03,0.88,0.01,-0.01, 2.8, 2.9,-1.8
19,K00070.04,6.09855603,2.536e-05,-2.536e-05,0.842,0.038,-0.038, 2.9191,0.0996,-0.0996,0.81,0.05,-0.05,3.3379,0.0699,-0.0699,0.0657,0.0007,-0.0007,148.6151,12.2333,-12.2333,1,70,5515,100,0.1,0.06,0.88,0.04,-0.03,0.94,0.03,-0.03,0.88,0.01,-0.01, 2.8, 2.9,-1.8
20,K00070.05,19.5776073,0.0001427,-0.0001427,0.902,0.042,-0.042, 3.3847,0.1704,-0.1704,0.86,0.05,-0.05,4.9048,0.1027,-0.1027,0.1419,0.0015,-0.0015,31.8742,2.6237,-2.6237,1,70,5515,100,0.1,0.06,0.88,0.04,-0.03,0.94,0.03,-0.03,0.88,0.01,-0.01, 2.8, 2.9,-1.8
21,K00072.02,45.29422297,5.6e-05,-5.6e-05,1.996,0.04,-0.04, 6.6134,0.0281,-0.0281,2.36,0.1,-0.1,7.9886,0.2301,-0.2301,0.2431,0.0033,-0.0033,17.5162,1.4632,-1.4632,1,72,5635,100,-0.11,0.06,1.08,0.04,-0.04,0.89,0.04,-0.04,1.07,0.02,-0.02,11.1, 2.8,-2.7
