#Lookup table for predicting log(Radius) given log(Mass) and certain quantile.
-2.999999999999999889e-01 -1.193118171498475516e-01 -6.361502663897480869e-02 -1.681077822158859661e-02 2.821292465422301984e-02 7.526940901437544074e-02 1.284705850583996167e-01 1.953141459324261309e-01 2.985118409059604461e-01 1.304835069229006272e+00
-2.999999999999999889e-01 -1.144109737466979110e-01 -5.672999057670007755e-02 -7.682232610951090709e-03 4.014387244639089358e-02 9.100219276187578032e-02 1.498793167889748978e-01 2.264044189260330242e-01 3.494974711729298966e-01 1.304835069229006272e+00
-2.999999999999999889e-01 -1.062427355125692835e-01 -4.445144175500595485e-02 9.236040732522043939e-03 6.292374347714245475e-02 1.218061245951477661e-01 1.924622720517081276e-01 2.866791815202794358e-01 4.291449242252964313e-01 1.304835069229006272e+00
-2.999999999999999889e-01 -9.174845319889252115e-02 -2.184886882765955593e-02 4.127210077421347711e-02 1.069591624994109119e-01 1.812325692476083050e-01 2.691593970045593198e-01 3.742600479979166783e-01 5.072729262094662905e-01 1.304835069229006272e+00
-2.999999999999999889e-01 -6.631057714860397190e-02 1.937871895280591367e-02 1.004424584638435036e-01 1.843882455328706982e-01 2.706064274435264760e-01 3.577063568775033509e-01 4.498875575394762349e-01 5.635330294518512417e-01 1.304835069229006272e+00
-2.999999999999999889e-01 -2.273940711173160975e-02 8.931476193561663224e-02 1.866922210970961005e-01 2.708249089223982997e-01 3.463930153879912766e-01 4.198222541656361217e-01 4.989308784023124832e-01 6.002193298277513911e-01 1.304835069229006272e+00
-2.999999999999999889e-01 4.523846750888912971e-02 1.698545317645863417e-01 2.565890198670429667e-01 3.271955345052459663e-01 3.917685938266367018e-01 4.566132425943200679e-01 5.287367621334622125e-01 6.240409693997572838e-01 1.304835069229006272e+00
-2.999999999999999889e-01 1.150323738956551128e-01 2.222518080745307933e-01 2.961056650627958975e-01 3.586759044773733529e-01 4.178262478775010003e-01 4.787892551999080593e-01 5.481871293984343918e-01 6.426276574709255396e-01 1.304835069229006272e+00
-2.999999999999999889e-01 1.577074257247812750e-01 2.510294485698487676e-01 3.188788904621573383e-01 3.782543491066480690e-01 4.356933693600480439e-01 4.961359571098682975e-01 5.667331051200971137e-01 6.681294065451972575e-01 1.304835069229006272e+00
-2.999999999999999889e-01 1.829876632230796329e-01 2.712664815532784268e-01 3.380677141669417018e-01 3.980741488548482643e-01 4.576323282780199730e-01 5.224940347198165913e-01 6.032034798186721725e-01 7.463112228632157175e-01 1.304835069229006272e+00
