pl_masse,pl_masseerr1,pl_rade,pl_radeerr1
0.066,,0.522,
8.25,,0.84,
2.71,,0.85,
1.86,,1.173,
3.8,,1.18,
1.97,,1.197,
0.64,,1.212,
4.6,,1.31,
7.34,,1.32,
6.35,,1.43,
4.02,,1.478,
3.51,,1.48,
6.15,,1.48,
4.60853,,1.481,
4.45,,1.486,
6.75,,1.53,
4.13,,1.6,
5.08,,1.639,
4.19,,1.71,
1.9,,1.8,
11.7,,1.82,
9.7,,1.868,
3.94,,1.88,
3.85,,1.9,
4.16,,1.99,
3.55,,1.99,
6.9,,2.0,
7.93,,2.04,
7.3,,2.15,
3.64,,2.2,
8.93,,2.22,
5.97,,2.33,
17.2,,2.35,
6.84,,2.37,
16.13,,2.41,
7.44,,2.43,
2.0,,2.49,
10.44,,2.5,
11.17,,2.56,
6.93,,2.67,
8.46,,2.67,
4.0,,2.68,
9.6,,2.71,
14.61,,2.71,
6.2,,2.72,
6.74,,2.74,
10.07,,2.744,
5.12,,2.78,
2.9,,2.87,
7.4,,2.99,
12.75,,3.047,
7.3,,3.12,
4.0,,3.14,
4.51,,3.35,
9.7,,3.37,
13.0,,3.42,
5.1,,3.44,
10.9,,3.47,
4.1,,3.49,
10.84,,3.51,
8.08,,3.679,
5.9,,3.72,
11.3,,3.9,
24.472,,4.002,
8.0,,4.19,
67.0,,4.347,
4.8,,4.6,
36.1,,5.14,
24.6,,5.2,
8.0,,5.24,
17.3,,5.49,
51.1,,5.77,
6.4,,6.14,
22.1,,6.51,
16.4,,6.98,
2.1,,7.1,
6.0,,7.16,
29.875,,8.059,
40.363,,8.16,
308.2951,,8.373,
105.833,,8.449,
69.92,,8.564,
23.1,,8.8,
4.0,,9.0,
54.347,,9.225,
80.09,,9.438,
7.6,,9.7,
181.0,,9.8,
327.35,,9.98,
460.83,,10.54,
209.76,,10.76,
160.497,,10.76,
200.22,,10.76,
136.661,,10.761,
794.5,,10.8,
79.45,,10.962,
132.0,,11.59,
3209.9,,11.77,
483.0,,11.874,
403.63,,12.11,
108.06,,12.22,
317.82,,12.22,
640.0,,12.3,
584.78,,12.341,
908.96,,12.67,
2669.66,,12.733,
1719.4603,,12.834,
136.66,,12.89,
699.2,,13.11,
189.101,,13.361,
324.2,,13.49,
1026.5909,,13.664,
92.17,,13.79,
6388.1,,13.9,
177.98,,14.46,
212.31044,,14.617,
778.65,,14.68,
299.07803,,15.031,
638.8383,,15.244,
257.4423,,15.323,
187.5197,,15.872,
670.93913,,15.984,
896.24,,16.25,
140.16303,,18.181,
435.41,,18.49,
137.30256,,19.661,
266.97,,22.31,
