Planet_Name,st_j,st_teff,st_tefferr1,st_tefferr2,st_lum,st_lumerr1,st_lumerr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2
gj1214b,9.75,3026,150,-150,0.00364344,0.000794738,0.000794738,0.22,0.01,-0.01,0.15,0.01,-0.01
gj3470b,8.794,3652,50,50,0.036795616,0.006455185,0.006455185,0.48,0.04,0.04,0.51,0.06,0.06
kepler138c,10.29,3726,44,40,0.049901144,0.003650707,0.003650707,0.537,0.015,0.015,0.56,0.023,0.024
kepler138d,10.29,3726,44,40,0.049901144,0.003650707,0.003650707,0.537,0.015,0.015,0.56,0.023,0.024
kepler45b,13.749,3906,42,38,0.063218599,0.016320113,0.016320113,0.55,0.07,0.05,0.59,0.019,0.02
hats6b,12.046,3724,18,18,0.056102076,0.002421826,0.002421826,0.57,0.011,0.011,0.574,0.02,0.027
kepler26b,13.4,3914,119,-119,0.054804241,0.007930842,0.007930842,0.51,0.02,-0.02,0.544,0.025,0.025
kepler26c,13.4,3914,119,-119,0.054804241,0.007930842,0.007930842,0.51,0.02,-0.02,0.544,0.025,0.025
k218b,9.763,3457,39,39,0.025335622,0.002038029,0.002038029,0.4445,0.0148,0.0148,0.04951,0.0043,0.0043
trappist1b,11.35,2559,50,-50,0.00052704,5.24E-05,5.24E-05,0.117,0.0036,0.0036,0.08,0.01,-0.01
trappist1c,11.35,2559,50,-50,0.00052704,5.24E-05,5.24E-05,0.117,0.0036,0.0036,0.08,0.01,-0.01
trappist1d,11.35,2559,50,-50,0.00052704,5.24E-05,5.24E-05,0.117,0.0036,0.0036,0.08,0.01,-0.01
k2146b,12.183,3398,47,47,0.013035026,0.001069677,0.001069677,0.33,0.01,0.01,0.331,0.009,0.009
lhs1140b,9.612,3216,39,-39,0.004235389,0.000205448,0.000205448,0.21,0,0,0.18,0.01,-0.01
trappist1e,11.35,2559,50,-50,0.00052704,5.24E-05,5.24E-05,0.117,0.0036,0.0036,0.08,0.01,-0.01
trappist1f,11.35,2559,50,-50,0.00052704,5.24E-05,5.24E-05,0.117,0.0036,0.0036,0.08,0.01,-0.01
trappist1g,11.35,2559,50,-50,0.00052704,5.24E-05,5.24E-05,0.117,0.0036,0.0036,0.08,0.01,-0.01
ngts1b,12.702,3916,71,63,0.068597924,0.019887845,0.019887845,0.57,0.08,-0.08,0.62,0.02,-0.06
k2146c,12.183,3398,47,47,0.013035026,0.001069677,0.001069677,0.33,0.01,0.01,0.331,0.009,0.009
gj1252b,8.697,3458,140,133,0.019626552,0.00375946,0.00375946,0.391,0.02,0.02,0.381,0.019,0.019
l1689b,7.941,3800,70,-70,0.06739496,0.006696837,0.006696837,0.6,0.02,-0.02,0.62,0.03,-0.03
lhs1140c,9.612,3216,39,-39,0.004235389,0.000205448,0.000205448,0.21,0,0,0.18,0.01,-0.01
L9859c,7.933,3412,49,49,0.01184502,0.001262135,0.001262135,0.312,0.014,0.014,0.313,0.014,0.014
L9859d,7.933,3412,49,49,0.01184502,0.001262135,0.001262135,0.312,0.014,0.014,0.313,0.014,0.014
gj357b,7.337,3505,51,51,0.015388717,0.001636729,0.001636729,0.337,0.015,0.015,0.342,0.011,0.011
gj436b,6.9,3479,60,60,0.027228959,0.002858274,0.002858274,0.455,0.018,0.018,0.47,0.07,0.07
gj1132b,9.24,3270,140,140,0.004548684,0.000895061,0.000895061,0.2105,0.0102,0.0085,0.181,0.019,0.019
trappist1h,11.35,2559,50,-50,0.00052704,5.24E-05,5.24E-05,0.117,0.0036,0.0036,0.08,0.01,0.01
TOI-1728b,9.64,3985,30,30,0.087877952,0.003868001,0.003868001,0.623,0.01,0.01,0.648,0.023,0.022
k23b,9.42,3835,70,70,0.069912447,0.014885067,0.014885067,0.6,0.06,0.06,0.62,0.06,0.06
k225b,11.3,3207,58,58,0.008164213,0.000785536,0.000785536,0.2932,0.0093,0.0093,0.2634,0.0077,0.0077
ltt3780b,9,3360,51,51,0.016698381,0.001458934,0.001458934,0.382,0.012,0.012,0.379,0.016,0.016
ltt3780c,9,3360,51,51,0.016698381,0.001458934,0.001458934,0.382,0.012,0.012,0.379,0.016,0.016
toi1235b,8.75,3997,51,51,0.087802811,0.007009699,0.007009699,0.619,0.019,0.019,0.63,0.024,0.024
