pl_masse,pl_masseerr1,pl_rade,pl_radeerr1
6.90E+00,3.40E+00,2.00E+00,1.00E-01
1.73E+01,1.90E+00,5.49E+00,2.60E-01
1.64E+01,1.40E+00,6.98E+00,3.30E-01
9.70E+00,1.41E+00,1.87E+00,6.60E-02
1.28E+01,2.17E+00,3.05E+00,6.40E-02
1.01E+01,3.97E+00,2.74E+00,7.30E-02
5.08E+00,1.72E+00,1.64E+00,1.90E-02
5.11E+01,5.10E+00,5.77E+00,8.50E-01
2.21E+01,3.90E+00,6.51E+00,2.90E-01
1.81E+02,2.10E+01,9.80E+00,4.60E-01
2.45E+01,3.81E+00,4.00E+00,2.13E-01
6.71E+02,2.13E+01,1.60E+01,4.04E-01
2.12E+02,1.21E+01,1.46E+01,2.02E-01
1.40E+02,1.37E+01,1.82E+01,1.46E-01
1.88E+02,4.13E+01,1.59E+01,5.94E-01
8.01E+01,4.13E+00,9.44E+00,7.73E-01
5.43E+01,4.13E+00,9.22E+00,7.51E-01
4.61E+00,1.27E+00,1.48E+00,4.90E-02
1.90E+00,1.40E+00,1.80E+00,3.00E-02
2.90E+00,2.90E+00,2.87E+00,5.00E-02
7.30E+00,8.00E-01,3.12E+00,6.00E-02
8.00E+00,1.50E+00,4.19E+00,7.00E-02
2.00E+00,8.00E-01,2.49E+00,4.00E-02
2.00E+02,3.81E+01,1.08E+01,2.20E-01
4.13E+00,8.10E-01,1.60E+00,8.00E-02
6.39E+02,1.18E+02,1.52E+01,1.34E+00
1.37E+02,1.02E+01,1.08E+01,1.79E-01
1.09E+01,7.40E+00,3.47E+00,7.00E-02
5.90E+00,1.90E+00,3.72E+00,8.00E-02
6.00E+00,2.10E+00,7.16E+00,1.30E-01
4.10E+00,1.20E+00,3.49E+00,1.40E-01
6.93E+00,1.05E+00,2.67E+00,1.00E-01
6.74E+00,1.23E+00,2.74E+00,1.20E-01
6.75E+00,6.90E-01,1.53E+00,9.00E-02
1.37E+02,1.68E+01,1.97E+01,3.47E-01
2.95E+03,5.09E+01,1.69E+01,3.92E-01
2.10E+02,2.54E+01,1.08E+01,6.70E-01
1.06E+02,5.08E+00,8.45E+00,2.90E-02
7.79E+02,3.50E+01,1.47E+01,2.20E-01
6.99E+01,3.50E+00,8.56E+00,1.35E-01
4.04E+01,6.36E+00,8.16E+00,1.57E-01
4.45E+00,3.30E-01,1.49E+00,3.50E-02
8.08E+00,6.00E-01,3.68E+00,5.40E-02
6.99E+02,1.27E+02,1.31E+01,4.50E-01
1.78E+02,2.54E+01,1.45E+01,2.20E-01
1.03E+03,8.26E+01,1.37E+01,7.29E-01
3.18E+02,3.18E+01,1.22E+01,7.80E-01
3.24E+02,8.80E+00,1.35E+01,5.50E-01
6.40E+00,8.00E-01,6.14E+00,2.90E-01
8.08E+00,3.10E-01,1.91E+00,8.00E-02
2.10E+00,1.50E+00,7.10E+00,3.00E-01
4.00E+00,4.00E-01,9.00E+00,2.80E+00
7.60E+00,1.10E+00,9.70E+00,5.00E-01
1.05E+01,4.60E+00,1.71E+00,1.60E-01
1.56E+01,5.70E+00,4.32E+00,4.10E-01
1.06E+02,1.10E+01,1.13E+01,1.06E+00
3.50E+01,1.80E+01,6.56E+00,6.20E-01
2.57E+02,5.72E+01,1.53E+01,7.73E-01
3.32E+02,2.64E+01,1.43E+01,1.72E+00
2.10E+02,1.91E+01,1.44E+01,6.95E-01
1.12E+02,9.22E+00,1.39E+01,1.19E+00
2.83E+02,4.35E+01,1.60E+01,1.96E+00
1.57E+02,2.61E+01,1.44E+01,3.04E+00
1.67E+02,6.04E+00,1.48E+01,2.13E-01
6.71E+01,3.81E+00,1.07E+01,3.25E-01
1.33E+03,2.99E+01,1.44E+01,7.40E-01
2.42E+02,1.02E+01,1.06E+01,3.14E-01
4.27E+02,4.77E+01,1.31E+01,3.36E-01
