m,m_sigma,r,r_sigma
6.9,3.4,2.0,0.1
17.3,1.9,5.49,0.26
16.4,1.4,6.98,0.33
9.7,1.41,1.868,0.066
12.75,2.17,3.047,0.064
10.07,3.97,2.744,0.073
5.08,1.72,1.639,0.019
51.1,5.1,5.77,0.85
22.1,3.9,6.51,0.29
181.0,21.0,9.8,0.46
24.472,3.814,4.002,0.213
670.93913,21.29461,15.984,0.404
212.31044,12.07754,14.617,0.202
140.16303,13.66669,18.181,0.146
187.5197,41.3179,15.872,0.594
80.09,4.132,9.438,0.773
54.347,4.132,9.225,0.751
4.60853,1.27132,1.481,0.049
1.9,1.4,1.8,0.03
2.9,2.9,2.87,0.05
7.3,0.8,3.12,0.06
8.0,1.5,4.19,0.07
2.0,0.8,2.49,0.04
200.22,38.14,10.76,0.22
4.13,0.81,1.6,0.08
638.8383,117.5971,15.244,1.345
136.661,10.17,10.761,0.179
10.9,7.4,3.47,0.07
5.9,1.9,3.72,0.08
6.0,2.1,7.16,0.13
4.1,1.2,3.49,0.14
6.93,1.05,2.67,0.1
6.74,1.23,2.74,0.12
6.75,0.69,1.53,0.09
137.30256,16.84499,19.661,0.347
2949.4624,50.8528,16.948,0.392
209.76,25.43,10.76,0.67
105.833,5.085,8.449,0.029
778.65,34.96,14.68,0.22
69.92,3.496,8.564,0.135
40.363,6.356,8.16,0.157
4.45,0.33,1.486,0.035
8.08,0.6,3.679,0.054
699.2,127.1,13.11,0.45
177.98,25.43,14.46,0.22
1026.5909,82.6358,13.664,0.729
317.82,31.78,12.22,0.78
324.2,8.8,13.49,0.55
6.4,0.8,6.14,0.29
8.08,0.31,1.91,0.08
2.1,1.5,7.1,0.3
4.0,0.4,9.0,2.8
7.6,1.1,9.7,0.5
10.5,4.6,1.71,0.16
15.6,5.7,4.32,0.41
106.0,11.0,11.27,1.06
35.0,18.0,6.56,0.62
257.4423,57.2094,15.323,0.773
331.801,26.379,14.348,1.715
210.395,19.069,14.359,0.695
111.871,9.217,13.922,1.188
283.492,43.541,15.984,1.962
156.684,26.061,14.392,3.038
166.86075,6.03877,14.785,0.213
67.059,3.814,10.749,0.325
1332.605,29.875,14.448,0.74
241.5508,10.17056,10.581,0.314
427.463,47.672,13.092,0.336
340.382,43.223,15.48,0.392
420.471,8.899,11.433,0.415
75.323,3.814,10.223,0.28
62.61,4.132,11.153,0.583
1102.82,69.92,16.432,0.471
228.83,25.43,13.34,0.67
148.42,14.937,15.558,0.516
940.74,108.06,13.068,0.392
69.92,9.53,6.39,0.22
266.9772,15.8915,11.949,0.841
874.0,50.85,10.87,0.78
740.51,108.06,16.03,0.34
291.438,22.247,16.14,1.46
415.704,20.976,9.92,0.157
2415.4,190.7,12.22,0.78
170.032,27.014,13.11,1.79
772.29,95.34,11.43,0.78
1102.82,120.77,14.68,2.02
352.78,19.07,14.46,0.34
12.2,14.0,4.88,0.17
889.9,95.3,11.77,1.46
28.0,11.0,5.0,0.5
85.81,12.71,12.11,3.4
165.26,15.89,14.12,1.46
153.82972,27.65121,10.705,0.74
270.1555,63.566,10.088,1.793
92.802,5.721,12.689,0.807
2302.899,59.432,9.718,0.37
180.84527,7.31009,12.722,0.538
197.05,9.53,11.43,0.78
198.953,11.759,13.585,1.267
29.875,10.488,8.059,0.269
584.78,57.21,12.341,0.392
232.0159,12.7132,13.339,0.224
215.80657,12.39537,15.681,0.773
408.09372,10.17056,19.537,0.527
603.877,25.4264,14.572,1.009
425.25654,20.65895,8.709,0.628
286.68266,19.0698,19.044,0.516
563.83042,25.10857,11.882,3.923
16.5,2.7,5.13,0.28
10.3,4.7,3.43,0.35
390.9309,25.4264,15.693,2.242
190.698,22.2481,13.899,0.336
88.9924,12.7132,10.761,1.121
317.83,31.783,10.424,0.336
308.2951,92.1707,8.373,0.191
368.6828,28.6047,13.563,0.56
4.74,0.19,1.602,0.055
4.36,0.22,1.511,0.047
16.17,0.64,1.61,0.02
30.9,4.6,4.48,0.23
7.3,0.4,1.31,0.02
429.0705,23.20159,14.437,0.717
98.20947,5.72094,14.493,0.605
259.98494,9.21707,11.31,0.807
471.65972,17.79848,14.773,1.02
292.4036,9.5349,20.512,0.673
200.2329,22.2481,18.271,1.009
172.58169,22.88376,13.585,0.392
340.39593,22.2481,11.646,0.359
896.24,165.26,16.25,1.79
908.96,111.24,12.67,2.91
266.97,47.67,22.31,2.02
435.41,152.55,18.49,6.61
375.02,44.49,13.45,1.68
734.16,244.72,10.548,0.404
411.27202,16.52716,12.812,0.291
792.635,17.162,14.056,0.146
568.9157,21.61244,13.384,0.168
290.802,28.603,12.005,0.897
502.15,41.32,12.184,0.762
305.1168,41.3179,14.908,1.042
339.76027,12.07754,15.603,0.448
98.841,5.403,16.388,0.661
95.345,3.496,11.99,0.56
288.26,13.666,13.597,0.471
750.39663,22.2481,14.874,0.235
167.49641,8.89924,12.576,0.437
146.2,6.36,14.24,0.34
204.68252,19.70546,11.769,0.594
274.276,14.302,8.687,0.762
403.945,21.612,14.247,0.437
492.62,50.85,12.464,0.661
187.512,6.992,13.047,0.818
340.06,15.89,14.235,0.538
170.99254,11.12405,11.198,0.336
220.565,8.899,10.559,0.247
152.55,9.53,13.45,0.67
293.03926,25.4264,12.823,0.381
473.547,27.968,17.127,0.818
404.263,14.937,12.745,0.415
1274.44,111.24,16.7,1.79
355.9696,50.8528,15.278,0.684
378.2,9.53,12.78,0.34
167.17858,25.74423,10.862,0.684
184.97706,17.79848,13.249,0.616
483.0,206.0,11.874,0.138
1541.4755,66.7443,16.511,1.076
285.72917,11.44188,14.773,0.729
194.82979,13.34886,14.123,1.121
206.5895,24.15508,19.616,2.354
168.4499,41.3179,16.814,2.242
213.58176,27.65121,13.384,0.785
207.54299,20.02329,14.022,0.684
224.38798,12.39537,13.171,0.583
375.99289,20.34112,20.905,0.493
689.6911,47.6745,12.386,0.448
1039.3041,60.3877,14.572,1.681
9.9,4.6,2.42,0.29
95.349,9.5349,11.657,0.897
1875.197,127.132,11.657,0.448
43.86054,6.03877,9.785,1.379
184.02357,8.89924,11.646,0.56
299.07803,39.72875,15.031,0.493
794.5,95.3,10.8,1.4
460.83,111.24,10.54,1.35
136.66,41.32,12.89,1.23
7.3,6.8,2.15,0.1
132.0,17.0,11.59,0.19
4.0,0.9,2.68,0.17
189.101,25.743,13.361,0.583
327.35,41.32,9.98,0.9
79.45,25.43,10.962,0.247
108.06,25.43,12.22,0.34
92.17,28.6,13.79,2.35
403.63,60.39,12.11,0.34
1719.4603,101.7056,12.834,0.404
48.6,4.2,5.02,0.53
139.8452,19.0698,9.528,0.56
282.8687,12.7132,10.088,4.484
886.7457,73.1009,11.994,1.681
174.8065,25.4264,15.468,1.009
1652.716,63.566,11.209,0.56
133.4886,12.7132,16.814,5.604
149.3801,31.783,17.598,1.121
1172.7927,57.2094,13.451,0.673
791.3967,66.7443,12.812,0.729
594.3421,66.7443,13.473,1.087
135.39558,11.75971,7.656,0.415
21.3,3.6,2.49,0.34
425.8922,25.4264,11.545,0.448
572.094,31.783,10.761,0.336
38.1396,3.1783,10.536,0.224
108.0622,79.4575,23.371,1.076
8.6,3.9,1.9,0.2
47.6745,31.783,6.389,0.673
508.528,34.9613,18.495,0.785
273.3338,41.3179,14.572,1.681
451.3186,98.5273,17.396,0.538
70.87609,9.85273,9.528,0.291
508.528,63.566,12.285,0.953
9.68,1.21,2.59,0.06
15.68,2.28,3.53,0.08
16.6,1.3,4.71,0.17
131.89945,6.3566,11.5,0.28
597.5204,79.4575,19.055,0.336
323.23311,22.2481,17.318,0.583
98.5273,12.7132,12.666,0.336
123.9537,6.3566,17.374,1.121
6.54,0.84,1.71,0.11
1722.6386,69.9226,10.817,0.359
210.40346,17.48065,12.924,0.594
1080.622,44.4962,13.395,0.751
305.1168,38.1396,13.529,0.437
305.1168,63.566,18.82,0.908
260.93843,26.37989,16.825,0.56
416.3573,88.9924,17.094,0.729
255.85315,21.61244,16.376,0.863
467.2101,92.1707,17.901,0.863
163.36462,6.3566,16.141,0.404
40.68224,3.1783,5.717,0.224
126.49634,11.75971,11.209,0.247
5.0,3.1,2.213,0.082
200.2329,41.3179,17.598,1.345
505.3497,76.2792,17.71,1.793
3082.951,508.528,14.908,3.251
