m,m_sigma,r,r_sigma
6.9,3.4,2.0,0.1
17.3,1.9,5.49,0.26
16.4,1.4,6.98,0.33
9.7,1.41,1.87,0.066
12.8,2.17,3.05,0.064
10.1,3.97,2.74,0.073
5.08,1.72,1.64,0.019
51.1,5.1,5.77,0.85
22.1,3.9,6.51,0.29
181.0,21.0,9.8,0.46
24.5,3.81,4.0,0.213
671.0,21.3,16.0,0.404
212.0,12.1,14.6,0.202
140.0,13.7,18.2,0.146
188.0,41.3,15.9,0.594
80.1,4.13,9.44,0.773
54.3,4.13,9.22,0.751
4.61,1.27,1.48,0.049
1.9,1.4,1.8,0.03
2.9,2.9,2.87,0.05
7.3,0.8,3.12,0.06
8.0,1.5,4.19,0.07
2.0,0.8,2.49,0.04
200.0,38.1,10.8,0.22
4.13,0.81,1.6,0.08
639.0,118.0,15.2,1.34
137.0,10.2,10.8,0.179
10.9,7.4,3.47,0.07
5.9,1.9,3.72,0.08
6.0,2.1,7.16,0.13
4.1,1.2,3.49,0.14
6.93,1.05,2.67,0.1
6.74,1.23,2.74,0.12
6.75,0.69,1.53,0.09
137.0,16.8,19.7,0.347
2950.0,50.9,16.9,0.392
210.0,25.4,10.8,0.67
106.0,5.08,8.45,0.029
779.0,35.0,14.7,0.22
69.9,3.5,8.56,0.135
40.4,6.36,8.16,0.157
4.45,0.33,1.49,0.035
8.08,0.6,3.68,0.054
699.0,127.0,13.1,0.45
178.0,25.4,14.5,0.22
1030.0,82.6,13.7,0.729
318.0,31.8,12.2,0.78
324.0,8.8,13.5,0.55
6.4,0.8,6.14,0.29
8.08,0.31,1.91,0.08
2.1,1.5,7.1,0.3
4.0,0.4,9.0,2.8
7.6,1.1,9.7,0.5
10.5,4.6,1.71,0.16
15.6,5.7,4.32,0.41
106.0,11.0,11.3,1.06
35.0,18.0,6.56,0.62
257.0,57.2,15.3,0.773
332.0,26.4,14.3,1.72
210.0,19.1,14.4,0.695
112.0,9.22,13.9,1.19
283.0,43.5,16.0,1.96
157.0,26.1,14.4,3.04
167.0,6.04,14.8,0.213
67.1,3.81,10.7,0.325
1330.0,29.9,14.4,0.74
242.0,10.2,10.6,0.314
427.0,47.7,13.1,0.336
340.0,43.2,15.5,0.392
420.0,8.9,11.4,0.415
75.3,3.81,10.2,0.28
62.6,4.13,11.2,0.583
1100.0,69.9,16.4,0.471
229.0,25.4,13.3,0.67
148.0,14.9,15.6,0.516
941.0,108.0,13.1,0.392
69.9,9.53,6.39,0.22
267.0,15.9,11.9,0.841
874.0,50.9,10.9,0.78
741.0,108.0,16.0,0.34
291.0,22.2,16.1,1.46
416.0,21.0,9.92,0.157
2420.0,191.0,12.2,0.78
170.0,27.0,13.1,1.79
772.0,95.3,11.4,0.78
1100.0,121.0,14.7,2.02
353.0,19.1,14.5,0.34
12.2,14.0,4.88,0.17
890.0,95.3,11.8,1.46
28.0,11.0,5.0,0.5
85.8,12.7,12.1,3.4
165.0,15.9,14.1,1.46
154.0,27.7,10.7,0.74
270.0,63.6,10.1,1.79
92.8,5.72,12.7,0.807
2300.0,59.4,9.72,0.37
181.0,7.31,12.7,0.538
197.0,9.53,11.4,0.78
199.0,11.8,13.6,1.27
29.9,10.5,8.06,0.269
585.0,57.2,12.3,0.392
232.0,12.7,13.3,0.224
216.0,12.4,15.7,0.773
408.0,10.2,19.5,0.527
604.0,25.4,14.6,1.01
425.0,20.7,8.71,0.628
287.0,19.1,19.0,0.516
564.0,25.1,11.9,3.92
16.5,2.7,5.13,0.28
10.3,4.7,3.43,0.35
391.0,25.4,15.7,2.24
191.0,22.2,13.9,0.336
89.0,12.7,10.8,1.12
318.0,31.8,10.4,0.336
308.0,92.2,8.37,0.191
369.0,28.6,13.6,0.56
4.74,0.19,1.6,0.055
4.36,0.22,1.51,0.047
16.2,0.64,1.61,0.02
30.9,4.6,4.48,0.23
7.3,0.4,1.31,0.02
429.0,23.2,14.4,0.717
98.2,5.72,14.5,0.605
260.0,9.22,11.3,0.807
472.0,17.8,14.8,1.02
292.0,9.53,20.5,0.673
200.0,22.2,18.3,1.01
173.0,22.9,13.6,0.392
340.0,22.2,11.6,0.359
896.0,165.0,16.3,1.79
909.0,111.0,12.7,2.91
267.0,47.7,22.3,2.02
435.0,153.0,18.5,6.61
375.0,44.5,13.4,1.68
734.0,245.0,10.5,0.404
411.0,16.5,12.8,0.291
793.0,17.2,14.1,0.146
569.0,21.6,13.4,0.168
291.0,28.6,12.0,0.897
502.0,41.3,12.2,0.762
305.0,41.3,14.9,1.04
340.0,12.1,15.6,0.448
98.8,5.4,16.4,0.661
95.3,3.5,12.0,0.56
288.0,13.7,13.6,0.471
750.0,22.2,14.9,0.235
167.0,8.9,12.6,0.437
146.0,6.36,14.2,0.34
205.0,19.7,11.8,0.594
274.0,14.3,8.69,0.762
404.0,21.6,14.2,0.437
493.0,50.9,12.5,0.661
188.0,6.99,13.0,0.818
340.0,15.9,14.2,0.538
171.0,11.1,11.2,0.336
221.0,8.9,10.6,0.247
153.0,9.53,13.4,0.67
293.0,25.4,12.8,0.381
474.0,28.0,17.1,0.818
404.0,14.9,12.7,0.415
1270.0,111.0,16.7,1.79
356.0,50.9,15.3,0.684
378.0,9.53,12.8,0.34
167.0,25.7,10.9,0.684
185.0,17.8,13.2,0.616
483.0,206.0,11.9,0.138
1540.0,66.7,16.5,1.08
286.0,11.4,14.8,0.729
195.0,13.3,14.1,1.12
207.0,24.2,19.6,2.35
168.0,41.3,16.8,2.24
214.0,27.7,13.4,0.785
208.0,20.0,14.0,0.684
224.0,12.4,13.2,0.583
376.0,20.3,20.9,0.493
690.0,47.7,12.4,0.448
1040.0,60.4,14.6,1.68
9.9,4.6,2.42,0.29
95.3,9.53,11.7,0.897
1880.0,127.0,11.7,0.448
43.9,6.04,9.79,1.38
184.0,8.9,11.6,0.56
299.0,39.7,15.0,0.493
795.0,95.3,10.8,1.4
461.0,111.0,10.5,1.35
137.0,41.3,12.9,1.23
7.3,6.8,2.15,0.1
132.0,17.0,11.6,0.19
4.0,0.9,2.68,0.17
189.0,25.7,13.4,0.583
327.0,41.3,9.98,0.9
79.5,25.4,11.0,0.247
108.0,25.4,12.2,0.34
92.2,28.6,13.8,2.35
404.0,60.4,12.1,0.34
1720.0,102.0,12.8,0.404
48.6,4.2,5.02,0.53
140.0,19.1,9.53,0.56
283.0,12.7,10.1,4.48
887.0,73.1,12.0,1.68
175.0,25.4,15.5,1.01
1650.0,63.6,11.2,0.56
133.0,12.7,16.8,5.6
149.0,31.8,17.6,1.12
1170.0,57.2,13.5,0.673
791.0,66.7,12.8,0.729
594.0,66.7,13.5,1.09
135.0,11.8,7.66,0.415
21.3,3.6,2.49,0.34
426.0,25.4,11.5,0.448
572.0,31.8,10.8,0.336
38.1,3.18,10.5,0.224
108.0,79.5,23.4,1.08
8.6,3.9,1.9,0.2
47.7,31.8,6.39,0.673
509.0,35.0,18.5,0.785
273.0,41.3,14.6,1.68
451.0,98.5,17.4,0.538
70.9,9.85,9.53,0.291
509.0,63.6,12.3,0.953
9.68,1.21,2.59,0.06
15.7,2.28,3.53,0.08
16.6,1.3,4.71,0.17
132.0,6.36,11.5,0.28
598.0,79.5,19.1,0.336
323.0,22.2,17.3,0.583
98.5,12.7,12.7,0.336
124.0,6.36,17.4,1.12
6.54,0.84,1.71,0.11
1720.0,69.9,10.8,0.359
210.0,17.5,12.9,0.594
1080.0,44.5,13.4,0.751
305.0,38.1,13.5,0.437
305.0,63.6,18.8,0.908
261.0,26.4,16.8,0.56
416.0,89.0,17.1,0.729
256.0,21.6,16.4,0.863
467.0,92.2,17.9,0.863
163.0,6.36,16.1,0.404
40.7,3.18,5.72,0.224
126.0,11.8,11.2,0.247
5.0,3.1,2.21,0.082
200.0,41.3,17.6,1.34
505.0,76.3,17.7,1.79
3080.0,509.0,14.9,3.25
598.0,47.7,15.7,2.8
235.0,41.3,17.9,0.527
953.0,350.0,11.8,0.493
1690.0,216.0,15.8,0.942
461.0,38.1,18.9,0.527
410.0,18.8,13.8,0.437
246.0,14.9,11.3,0.56
6.49,1.16,1.59,0.095
24.5,4.4,2.63,0.11
402.0,20.7,13.9,0.336
151.0,17.2,15.8,1.08
562.0,20.3,15.0,0.717
