m,m_sigma,r,r_sigma
0.066,0.048,0.522,0.032
8.25,5.9,0.84,0.07
2.71,1.8,0.85,0.03
1.86,0.315,1.173,0.124
3.8,1.8,1.18,0.04
1.97,1.516,1.197,0.07
0.64,0.5305,1.212,0.075
4.6,0.885,1.31,0.07
7.34,3.2,1.32,0.04
6.35,1.4,1.43,0.03
4.02,0.68,1.478,0.019
3.51,1.9,1.48,0.13
6.15,1.3,1.48,0.08
4.60853,1.36667,1.481,0.039
4.45,0.30000000000000004,1.486,0.035
6.75,0.6,1.53,0.08
4.13,0.88,1.6,0.07500000000000001
5.08,1.72,1.639,0.017
4.19,0.54,1.71,0.13
1.9,1.2,1.8,0.04
11.7,4.2,1.82,0.05
9.7,1.4249999999999998,1.868,0.05
3.94,2.1,1.88,0.1
3.85,0.81,1.9,0.15
4.16,0.7949999999999999,1.99,0.16
3.55,1.6,1.99,0.22
6.9,3.4,2.0,0.1
7.93,4.6,2.04,0.11
7.3,6.8,2.15,0.1
3.64,0.615,2.2,0.07
8.93,2.0,2.22,0.07
5.97,1.7,2.33,0.02
17.2,1.9,2.35,0.065
6.84,1.4,2.37,0.13
16.13,3.5,2.41,0.2
7.44,0.89,2.43,0.09
2.0,0.8500000000000001,2.49,0.05500000000000001
10.44,3.2,2.5,0.32
11.17,5.8,2.56,0.33
6.93,0.875,2.67,0.1
8.46,3.4,2.67,0.22
4.0,0.9,2.68,0.17
9.6,4.2,2.71,0.05
14.61,2.3,2.71,0.14
6.2,0.65,2.72,0.12
6.74,1.045,2.74,0.11
10.07,3.835,2.744,0.064
5.12,0.63,2.78,0.11
2.9,2.25,2.87,0.055
7.4,1.2000000000000002,2.99,0.225
12.75,2.205,3.047,0.06
7.3,1.15,3.12,0.065
4.0,1.26,3.14,0.2
4.51,1.44,3.35,0.22
9.7,8.6,3.37,0.09
13.0,2.9,3.42,0.09
5.1,1.4,3.44,0.25
10.9,6.7,3.47,0.07
4.1,1.15,3.49,0.14
10.84,1.4,3.51,0.15
8.08,0.53,3.679,0.054
5.9,2.0999999999999996,3.72,0.08
11.3,1.4,3.9,0.2
24.472,3.814,4.002,0.213
8.0,1.8,4.19,0.08
67.0,21.5,4.347,0.099
4.8,1.2999999999999998,4.6,0.33999999999999997
36.1,25.2,5.14,0.14
24.6,5.7,5.2,0.09
8.0,1.4,5.24,0.355
17.3,1.9,5.49,0.26
51.1,4.9,5.77,0.8200000000000001
6.4,0.8,6.14,0.29
22.1,3.75,6.51,0.28500000000000003
16.4,1.4,6.98,0.33
2.1,1.15,7.1,0.3
6.0,1.85,7.16,0.14500000000000002
29.875,10.488,8.059,0.269
40.363,6.356,8.16,0.157
308.2951,92.1707,8.373,0.191
105.833,5.085,8.449,0.029
69.92,3.3369999999999997,8.564,0.14600000000000002
23.1,2.7,8.8,0.5
4.0,0.4,9.0,2.25
54.347,4.132,9.225,0.751
80.09,4.132,9.438,0.773
7.6,1.1,9.7,0.5
181.0,20.0,9.8,0.46
327.35,41.32,9.98,0.785
460.83,111.24,10.54,1.35
209.76,27.015,10.76,0.7250000000000001
160.497,28.604,10.76,1.23
200.22,38.14,10.76,0.22
136.661,10.17,10.761,0.179
794.5,95.3,10.8,1.35
79.45,25.43,10.962,0.247
132.0,17.0,11.59,0.19
3209.9,127.1,11.77,0.34
483.0,206.0,11.874,0.138
403.63,60.39,12.11,0.34
108.06,25.43,12.22,0.34
317.82,31.78,12.22,0.78
640.0,50.0,12.3,0.4
584.78,57.21,12.341,0.392
908.96,111.24,12.67,2.465
2669.66,109.65,12.733,0.7115
1719.4603,79.45750000000001,12.834,0.4205
136.66,41.32,12.89,1.23
699.2,127.1,13.11,0.45
189.101,25.743,13.361,0.583
324.2,8.8,13.49,0.55
1026.5909,82.6358,13.664,0.723
92.17,28.6,13.79,2.35
6388.1,397.29999999999995,13.9,1.065
177.98,25.43,14.46,0.22
212.31044,11.600795000000002,14.617,0.28600000000000003
778.65,34.96,14.68,0.22
299.07803,22.88376,15.031,0.5045
638.8383,114.4188,15.244,1.345
257.4423,55.62025,15.323,0.7230000000000001
187.5197,39.728750000000005,15.872,0.6445
670.93913,24.313995,15.984,0.488
896.24,165.26,16.25,1.79
140.16303,13.507774999999999,18.181,0.146
435.41,149.375,18.49,6.445
137.30256,16.527160000000002,19.661,0.3755
266.97,47.67,22.31,2.02
