pl_masse,pl_masseerr1,pl_rade,pl_radeerr1
101.38777,22.2481,11.187,0.213
5.12,0.63,2.78,0.11
160.497,28.604,10.76,1.23
0.85,0.72,1.086,0.035
1.38,0.61,1.056,0.035
0.41,0.27,0.772,0.03
7.96,1.91,2.38,0.22
6.26125,0.85814,2.847,0.202
0.64,0.5305,1.212,0.075
1.97,1.516,1.197,0.07
13.73,1.61,3.88,0.32
0.066,0.048,0.522,0.032
6.2,0.65,2.72,0.12
6.65,1.82,1.43,0.1
258.07796,22.407015,14.908,5.268
0.62,0.58,0.918,0.039
0.68,0.18,1.045,0.038
1.34,0.88,1.127,0.041
22.1,2.3,4.17,0.168
1.66,0.23,1.43,0.08
