#Lookup table for predicting log(Radius) given log(Mass) and certain quantile.
9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09
-2.999999999999999889e-01 -2.406244578778698184e-01 -2.074215287755664661e-01 -1.759496779853641779e-01 -1.431210587071607698e-01 -1.066133534713289699e-01 -6.327240086372808159e-02 -6.910903248937100458e-03 8.061474860129361208e-02 1.304835069229006272e+00
-2.999999999999999889e-01 -1.451250409866253199e-01 -8.744186240390472431e-02 -4.029766190542012627e-02 4.068180603957386940e-03 4.943117815984433144e-02 9.939066124858181306e-02 1.598632195897690400e-01 2.471899122371586099e-01 1.304835069229006272e+00
-2.999999999999999889e-01 -1.203690506399656690e-01 -6.496434695028774353e-02 -1.851012576449241609e-02 2.606905253734301958e-02 7.252034413382447975e-02 1.248182517865110142e-01 1.901060192075344213e-01 2.897760940236910887e-01 1.304835069229006272e+00
-2.999999999999999889e-01 -1.021108050224380503e-01 -3.809243482942246961e-02 1.815355679972979752e-02 7.511297591326890344e-02 1.384321315628612159e-01 2.150894011081944390e-01 3.157089358915733390e-01 4.582936588946426859e-01 1.304835069229006272e+00
-2.999999999999999889e-01 -2.492136435338608569e-02 8.602968138084682304e-02 1.832783329538679451e-01 2.679011003748785202e-01 3.440199783883092777e-01 4.179161145933225074e-01 4.974160367776847003e-01 5.990578981136573944e-01 1.304835069229006272e+00
-2.999999999999999889e-01 1.425980369888042720e-01 2.406181367429068019e-01 3.103431165913240197e-01 3.706179818544156901e-01 4.283967064767895683e-01 4.886492725572944007e-01 5.581479800596961249e-01 6.550794129729798909e-01 1.304835069229006272e+00
-2.999999999999999889e-01 2.158863849869355478e-01 3.094620418942866658e-01 3.845717814864379469e-01 4.568180168015009146e-01 5.366357513871304885e-01 6.452763148475859634e-01 8.827128604263529965e-01 1.077913328621356470e+00 1.304835069229006272e+00
-2.999999999999999889e-01 8.116274664036479125e-01 9.176661609313320200e-01 9.799463947121273000e-01 1.027731432965657721e+00 1.068911521995104197e+00 1.107337442193074173e+00 1.146133713660889342e+00 1.190415622024869835e+00 1.304835069229006272e+00
9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09 9.721778848983394149e-09
