m,m_sigma,r,r_sigma
12.2,14.0,4.88,0.17
28.0,11.0,5.0,0.5
7.5,3.5,7.1,3.71
17.3,1.9,5.49,0.26
16.4,1.4,6.98,0.33
12.75,2.17,3.047,0.064
6.4,0.8,6.14,0.29
8.7,2.5,3.78,0.39
15.6,5.7,4.32,0.41
35.0,18.0,6.56,0.62
120.7754,19.0698,8.295,0.224
15.2,1.3,5.217,0.07
5.02,0.68,3.1910000000000003,0.09699999999999999
4.51,1.41,3.35,0.22
4.0,1.23,3.14,0.2
11.3,1.4,3.9,0.2
23.1,2.7,8.8,0.5
64.3,13.9,3.51,0.1
10.84,1.4,3.51,0.15
13.0,2.9,3.42,0.09
51.1,5.1,5.77,0.85
9.7,8.6,3.37,0.09
36.1,25.2,5.14,0.14
1e+20,nan,4.36,0.06
24.472,3.814,4.002,0.213
43.4,1.6,8.29,0.54
29.9,1.1,8.08,0.54
7.3,0.8,3.12,0.06
8.0,1.5,4.19,0.07
105.833,5.085,8.449,0.029
10.9,7.4,3.47,0.07
5.9,1.9,3.72,0.08
6.0,2.1,7.16,0.13
4.1,1.2,3.49,0.14
69.92,3.496,8.564,0.135
40.363,6.356,8.16,0.157
8.08,0.6,3.679,0.054
2.1,1.5,7.1,0.3
4.0,0.4,9.0,2.8
22.1,3.9,6.51,0.29
22.2481,6.3566,7.062,0.448
79.4,16.4,4.32,0.12
29.875,10.488,8.059,0.269
12.58,1.3,3.88,0.32
69.92,9.53,6.39,0.22
27.0,17.0,3.84,0.35
425.25654,20.65895,8.709,0.628
30.9,4.6,4.48,0.23
19.0,2.2,5.4,0.2
15.4,1.9,7.5,0.3
308.2951,92.1707,8.373,0.191
13.1,1.5,3.576,0.046
39.4,13.6,5.4,2.24
6.1,3.3,3.1,1.42
75.5,11.8,3.5,1.28
17.9,2.8,5.3,1.95
67.0,22.0,4.347,0.099
28.6047,15.8915,6.277,1.681
7.8,2.3,3.2,0.3
73.1009,15.8915,8.631,0.785
135.39558,11.75971,7.656,0.415
274.276,14.302,8.687,0.762
169.7,71.7,5.6,2.37
64.2,18.1,3.36,0.83
10.5,2.6,3.6,0.9
6.0,2.4,3.3,0.82
49.4,7.2,4.3,1.72
37.5,5.5,3.1,1.24
56.2,16.2,3.1,1.26
40.68224,3.1783,5.717,0.224
1e+20,nan,3.3,1.8
38.1396,3.81396,6.311,0.516
34.9613,5.40311,7.398,0.314
48.6,4.2,5.02,0.53
15.68,2.28,3.53,0.08
16.6,1.3,4.71,0.17
14.67,1.84,3.67,0.17
10.18,2.46,3.94,0.13
20.6,3.0,3.18,0.26
77.23269,6.99226,8.967,0.168
112.19399,12.07754,8.575,0.146
39.85588,1.23954,8.097,0.036
17.0,12.0,3.87,0.06
22.4,1.9,3.42,0.13
30.0,20.0,7.69,1.62
32.10083,1.58915,7.062,0.336
15.2,3.7,4.35,0.23
47.6745,31.783,6.389,0.673
37.18611,5.40311,8.967,0.56
23.1,0.8,4.191,0.109
26.49,5.01,5.07,0.17
