target_id,star_id,koi_period,period_err,depth,depth_err,duration,duration_err,koi_smass,koi_srad,koi_prad
75,52641,78.6086113,0.002894546,0.000506327,3.43E-05,0.179599456,0.005748349,0.717,0.691,1.695894711
84,2631,5.695112188,0.001508641,9.15E-05,5.53E-06,0.085505194,0.003321572,1.187,1.219,1.271600701
194,50829,92.35169694,0.003747887,0.00032737,2.81E-05,0.198673827,0.007822093,1.068,1.037,2.046460119
220,69584,6.454090827,0.000403806,0.001878366,4.24E-05,0.062218385,0.001050634,0.766,0.782,3.696597612
360,10583,40.69226347,0.00284331,0.00029595,1.98E-05,0.20365577,0.005862103,0.932,1.108,2.07899834
497,5164,6.701577002,0.001594363,0.000518117,4.68E-05,0.056233138,0.003961007,0.867,0.919,2.281574117
503,79436,7.636039391,0.00400378,9.62E-05,1.30E-05,0.103123347,0.008122673,0.78,0.732,0.783137442
536,20701,43.44507384,0.00643514,0.000173509,2.57E-05,0.202007254,0.013181115,0.862,0.999,1.435264107
654,29403,14.57840172,0.000441502,0.00258368,6.17E-05,0.06088687,0.00117763,0.751,0.733,4.063765659
660,45910,82.12265438,0.003027013,0.000995737,5.09E-05,0.470723523,0.00775306,1.083,1.484,5.107536134
795,27617,3.222016328,0.001958991,0.000286841,1.80E-05,0.149695637,0.004581198,1.056,1.396,2.578762078
798,38907,65.49800556,0.003992836,0.000315971,2.04E-05,0.360421992,0.007846579,1.216,1.314,2.547558383
885,15495,12.22715609,0.001857558,0.000286139,1.71E-05,0.127846601,0.004098282,0.959,0.984,1.815468483
944,51555,5.287096338,0.000498688,0.000490837,5.92E-06,0.216486728,0.001085442,1.173,1.569,3.791375618
993,23333,13.66671108,0.004008948,3.69E-05,3.41E-06,0.226136504,0.008397019,0.938,1.147,0.760313529
1166,16790,6.331510967,0.002698241,0.000274405,2.65E-05,0.096400782,0.005655412,0.858,0.819,1.479739752
1188,21175,3.835654227,0.003446291,4.04E-05,6.95E-06,0.065923169,0.008155222,1.118,1.165,0.807768829
1257,86458,7.321048382,0.001809899,0.000182874,1.07E-05,0.146925472,0.004284194,1.003,1.321,1.948425209
1287,9373,4.724740118,0.000139667,0.002680071,1.43E-05,0.090864576,0.000309636,0.907,0.861,4.861626888
1323,58991,58.92057869,0.00456794,0.000416386,4.37E-05,0.218385276,0.00966306,0.719,0.696,1.549039247
1441,82912,53.01135518,0.003015453,0.000183601,1.30E-05,0.181976497,0.005857852,0.83,0.833,1.231085193
1452,63570,65.84059259,0.002501803,0.000549132,2.92E-05,0.225076215,0.005066944,0.915,0.925,2.364205673
1525,31660,4.471825902,0.001092719,0.00053095,2.21E-05,0.107430169,0.002570596,0.919,0.964,2.422754037
1700,18101,242.5456615,0.004588935,0.000535199,2.72E-05,0.638808511,0.009085893,1.092,1.496,3.774804466
1764,79295,12.73717785,0.001403025,0.000446561,1.85E-05,0.122092046,0.002793767,0.954,0.922,2.125086423
1847,51364,13.18235709,0.001170645,0.000852816,3.38E-05,0.111187612,0.00255007,0.768,0.742,2.363398274
1948,9852,5.23574554,0.000967389,0.00018186,8.63E-06,0.06727063,0.002282495,0.776,0.898,1.320840399
1992,73527,8.15172754,0.001392271,0.000130482,9.07E-06,0.065898007,0.003297671,0.706,0.719,0.895795563
2049,870,4.565141905,0.000506159,0.000960148,1.60E-05,0.101387128,0.001012488,0.979,0.956,3.230964872
2126,3224,34.77946256,0.001755102,0.00085999,3.51E-05,0.174845045,0.003360886,0.669,0.662,2.117434135
2148,70075,12.41996597,0.00110761,0.000289527,7.07E-06,0.255155355,0.00242376,1.328,1.663,3.086329287
2210,25592,17.66831346,0.003278467,0.00049274,5.22E-05,0.117501289,0.007057378,0.791,0.803,1.944150728
2249,28103,9.674671395,0.002201049,5.05E-05,4.73E-06,0.083576352,0.005071493,0.999,1.005,0.778878872
2267,84833,44.96226106,0.001441324,0.000901729,2.70E-05,0.262763918,0.003113297,0.908,0.9,2.947718045
2271,60173,49.32453544,0.001175955,0.000497623,1.33E-05,0.202647587,0.002405383,1.16,1.374,3.343044633
2488,56128,16.95707559,0.000770306,0.000565973,1.19E-05,0.144680851,0.001542298,0.875,0.817,2.11994896
2562,10566,16.52328375,0.000894473,0.000789205,2.02E-05,0.124345474,0.001780095,0.975,0.95,2.910876385
2639,80157,3.615086562,0.001985076,0.000122852,9.67E-06,0.089718967,0.004387412,0.882,0.942,1.138797941
2825,77642,26.68031475,0.001151534,0.001362836,4.37E-05,0.158410237,0.002542258,0.787,0.774,3.116506254
2961,28022,138.4498023,0.004529686,0.000512786,4.11E-05,0.329691747,0.00996858,1.013,1.073,2.650166772
3269,7333,5.429216159,0.000595273,0.000428257,1.44E-05,0.052835045,0.001405001,0.872,0.838,1.89147875
3445,17847,244.5452397,0.00278839,0.00077979,3.17E-05,0.417161822,0.005650842,0.965,1.003,3.054887188
3451,12122,12.55513893,0.003182585,0.00018315,1.89E-05,0.127973196,0.007079391,1.117,1.123,1.657635525
3476,46158,59.31662695,0.005526335,0.000357859,4.19E-05,0.262358263,0.011902293,0.814,0.803,1.656826443
3500,70036,34.40891221,0.00423799,0.000183358,1.77E-05,0.205646851,0.008502135,0.847,0.841,1.242085281
3581,83884,46.81256566,0.005488415,0.00018401,1.89E-05,0.327054822,0.011687097,1.086,1.222,1.807997012
3587,41672,3.508634028,0.000707955,0.000288718,6.65E-06,0.128184451,0.001561096,1.051,1.489,2.759542569
3625,52110,22.88145262,0.00236517,0.00041957,2.21E-05,0.256131845,0.005330841,0.993,1.048,2.34136471
3655,17793,13.22070404,0.003149158,0.000314367,2.14E-05,0.234286977,0.006427804,1.064,1.304,2.521747205
3663,70358,298.6477148,0.00148299,0.002137155,6.40E-05,0.222926426,0.003039434,0.713,0.693,3.494270733
3666,722,38.07504786,0.002523997,0.000485497,2.61E-05,0.23658378,0.005286355,1.016,1.126,2.706056711
